archivo,_arco_normal_fortissimo
violin_D6_025_fortissimo_arco-normal.mp3,0.35682628
violin_Gs5_025_fortissimo_arco-normal.mp3,0.355798
violin_As4_15_fortissimo_arco-normal.mp3,0.42207044
violin_As5_15_fortissimo_arco-normal.mp3,0.39182788
violin_Gs4_025_fortissimo_arco-normal.mp3,0.3900027
violin_Cs5_1_fortissimo_arco-normal.mp3,0.36933962
violin_Ds7_15_fortissimo_arco-normal.mp3,0.35167423
violin_Fs5_025_fortissimo_arco-normal.mp3,0.371615
violin_Cs4_025_fortissimo_arco-normal.mp3,0.37480724
violin_C4_025_fortissimo_arco-normal.mp3,0.336631
violin_Ds7_025_fortissimo_arco-normal.mp3,0.3423979
violin_G3_025_fortissimo_arco-normal.mp3,0.35761356
violin_B3_05_fortissimo_arco-normal.mp3,0.37028682
violin_F4_1_fortissimo_arco-normal.mp3,0.3550735
violin_F5_05_fortissimo_arco-normal.mp3,0.3512904
violin_E4_05_fortissimo_arco-normal.mp3,0.37447155
violin_C6_025_fortissimo_arco-normal.mp3,0.338418
violin_Ds5_15_fortissimo_arco-normal.mp3,0.37326494
violin_Ds4_05_fortissimo_arco-normal.mp3,0.38215235
violin_C4_15_fortissimo_arco-normal.mp3,0.3229817
violin_As5_05_fortissimo_arco-normal.mp3,0.35774645
violin_B3_15_fortissimo_arco-normal.mp3,0.36849174
violin_As3_05_fortissimo_arco-normal.mp3,0.40482312
violin_A4_15_fortissimo_arco-normal.mp3,0.3283249
violin_Ds6_05_fortissimo_arco-normal.mp3,0.35662255
violin_G3_15_fortissimo_arco-normal.mp3,0.35242867
violin_A5_15_fortissimo_arco-normal.mp3,0.38364404
violin_A4_025_fortissimo_arco-normal.mp3,0.2851403
violin_E6_1_fortissimo_arco-normal.mp3,0.37198693
violin_Ds4_1_fortissimo_arco-normal.mp3,0.37918958
violin_C7_05_fortissimo_arco-normal.mp3,0.34301528
violin_A6_1_fortissimo_arco-normal.mp3,0.35070574
violin_G5_15_fortissimo_arco-normal.mp3,0.38713497
violin_B6_05_fortissimo_arco-normal.mp3,0.33266398
violin_As3_1_fortissimo_arco-normal.mp3,0.40922093
violin_B6_025_fortissimo_arco-normal.mp3,0.3460583
violin_A6_05_fortissimo_arco-normal.mp3,0.32631016
violin_Gs6_025_fortissimo_arco-normal.mp3,0.335691
violin_Fs6_05_fortissimo_arco-normal.mp3,0.34933928
violin_C6_05_fortissimo_arco-normal.mp3,0.3385495
violin_C4_05_fortissimo_arco-normal.mp3,0.33186096
violin_Cs5_025_fortissimo_arco-normal.mp3,0.37103537
violin_Fs5_05_fortissimo_arco-normal.mp3,0.37033954
violin_G7_15_fortissimo_arco-normal.mp3,0.3643327
violin_Fs7_025_fortissimo_arco-normal.mp3,0.35547382
violin_D7_05_fortissimo_arco-normal.mp3,0.36042148
violin_C6_1_fortissimo_arco-normal.mp3,0.34618744
violin_Fs7_05_fortissimo_arco-normal.mp3,0.34032133
violin_F7_15_fortissimo_arco-normal.mp3,0.3664327
violin_As6_05_fortissimo_arco-normal.mp3,0.3498103
violin_G4_05_fortissimo_arco-normal.mp3,0.30520082
violin_F4_05_fortissimo_arco-normal.mp3,0.36491632
violin_Ds4_025_fortissimo_arco-normal.mp3,0.37449697
violin_C4_1_fortissimo_arco-normal.mp3,0.30495378
violin_Gs3_15_fortissimo_arco-normal.mp3,0.4013049
violin_G7_05_fortissimo_arco-normal.mp3,0.34761143
violin_Cs7_05_fortissimo_arco-normal.mp3,0.34230557
violin_F6_025_fortissimo_arco-normal.mp3,0.35830155
violin_E7_1_fortissimo_arco-normal.mp3,0.35703167
violin_E6_05_fortissimo_arco-normal.mp3,0.3797178
violin_D4_1_fortissimo_arco-normal.mp3,0.33104455
violin_G5_025_fortissimo_arco-normal.mp3,0.37226087
violin_F6_05_fortissimo_arco-normal.mp3,0.36881477
violin_Fs5_1_fortissimo_arco-normal.mp3,0.3663607
violin_D7_1_fortissimo_arco-normal.mp3,0.36852652
violin_C5_1_fortissimo_arco-normal.mp3,0.31574202
violin_A5_1_fortissimo_arco-normal.mp3,0.37588736
violin_C5_025_fortissimo_arco-normal.mp3,0.31786436
violin_D5_05_fortissimo_arco-normal.mp3,0.32949468
violin_Gs5_15_fortissimo_arco-normal.mp3,0.35558084
violin_G3_05_fortissimo_arco-normal.mp3,0.36559358
violin_G5_05_fortissimo_arco-normal.mp3,0.3477467
violin_A3_15_fortissimo_arco-normal.mp3,0.3326183
violin_G5_1_fortissimo_arco-normal.mp3,0.3889084
violin_G6_025_fortissimo_arco-normal.mp3,0.3547659
violin_E4_15_fortissimo_arco-normal.mp3,0.35557786
violin_As3_025_fortissimo_arco-normal.mp3,0.42126143
violin_As6_1_fortissimo_arco-normal.mp3,0.36145312
violin_B4_15_fortissimo_arco-normal.mp3,0.41036347
violin_A3_025_fortissimo_arco-normal.mp3,0.32766262
violin_Gs3_025_fortissimo_arco-normal.mp3,0.3861003
violin_D6_15_fortissimo_arco-normal.mp3,0.3560296
violin_E7_025_fortissimo_arco-normal.mp3,0.34797934
violin_As5_025_fortissimo_arco-normal.mp3,0.39806518
violin_Gs6_05_fortissimo_arco-normal.mp3,0.33868125
violin_F7_1_fortissimo_arco-normal.mp3,0.36080322
violin_A5_025_fortissimo_arco-normal.mp3,0.36409715
violin_Fs4_15_fortissimo_arco-normal.mp3,0.38237053
violin_E4_1_fortissimo_arco-normal.mp3,0.38016003
violin_Gs5_1_fortissimo_arco-normal.mp3,0.35115346
violin_D4_05_fortissimo_arco-normal.mp3,0.3300096
violin_Gs4_1_fortissimo_arco-normal.mp3,0.39430696
violin_E5_1_fortissimo_arco-normal.mp3,0.38030994
violin_E6_025_fortissimo_arco-normal.mp3,0.35484207
violin_F6_1_fortissimo_arco-normal.mp3,0.359861
violin_Fs7_15_fortissimo_arco-normal.mp3,0.3484293
violin_B3_1_fortissimo_arco-normal.mp3,0.36959955
violin_Cs4_05_fortissimo_arco-normal.mp3,0.38240716
violin_C7_025_fortissimo_arco-normal.mp3,0.3342008
violin_E7_15_fortissimo_arco-normal.mp3,0.35764465
violin_F5_1_fortissimo_arco-normal.mp3,0.36210838
violin_B4_1_fortissimo_arco-normal.mp3,0.42258266
violin_D7_025_fortissimo_arco-normal.mp3,0.35667294
violin_Gs3_05_fortissimo_arco-normal.mp3,0.38561445
violin_G3_1_fortissimo_arco-normal.mp3,0.34923634
violin_Fs4_1_fortissimo_arco-normal.mp3,0.38340583
violin_B6_1_fortissimo_arco-normal.mp3,0.34897837
violin_A4_1_fortissimo_arco-normal.mp3,0.35407966
violin_F4_15_fortissimo_arco-normal.mp3,0.35328266
violin_A6_025_fortissimo_arco-normal.mp3,0.31728113
violin_Cs5_15_fortissimo_arco-normal.mp3,0.37337503
violin_Gs6_1_fortissimo_arco-normal.mp3,0.3569744
violin_Ds5_1_fortissimo_arco-normal.mp3,0.37021315
violin_Fs6_1_fortissimo_arco-normal.mp3,0.35688433
violin_Gs4_05_fortissimo_arco-normal.mp3,0.38617927
violin_Ds5_05_fortissimo_arco-normal.mp3,0.3716352
violin_Gs3_1_fortissimo_arco-normal.mp3,0.39763886
violin_G6_05_fortissimo_arco-normal.mp3,0.3637089
violin_D5_025_fortissimo_arco-normal.mp3,0.31689128
violin_B4_025_fortissimo_arco-normal.mp3,0.3807782
violin_A5_05_fortissimo_arco-normal.mp3,0.3776334
violin_Cs4_1_fortissimo_arco-normal.mp3,0.3937593
violin_C6_15_fortissimo_arco-normal.mp3,0.35029894
violin_D4_15_fortissimo_arco-normal.mp3,0.33788267
violin_E5_025_fortissimo_arco-normal.mp3,0.3339381
violin_A4_05_fortissimo_arco-normal.mp3,0.33036083
violin_B5_1_fortissimo_arco-normal.mp3,0.32739118
violin_D5_15_fortissimo_arco-normal.mp3,0.33621496
violin_As3_15_fortissimo_arco-normal.mp3,0.40489113
violin_E7_05_fortissimo_arco-normal.mp3,0.360982
violin_D6_05_fortissimo_arco-normal.mp3,0.3486486
violin_A3_05_fortissimo_arco-normal.mp3,0.31741032
violin_B5_15_fortissimo_arco-normal.mp3,0.35227424
violin_G7_025_fortissimo_arco-normal.mp3,0.3508232
violin_Fs5_15_fortissimo_arco-normal.mp3,0.3657162
violin_E5_05_fortissimo_arco-normal.mp3,0.37436202
violin_Fs6_025_fortissimo_arco-normal.mp3,0.3510689
violin_Ds6_1_fortissimo_arco-normal.mp3,0.36106628
violin_As6_025_fortissimo_arco-normal.mp3,0.35084635
violin_F5_15_fortissimo_arco-normal.mp3,0.3661087
violin_A3_1_fortissimo_arco-normal.mp3,0.33938703
violin_D5_1_fortissimo_arco-normal.mp3,0.3369483
violin_Cs4_15_fortissimo_arco-normal.mp3,0.40197402
violin_Cs6_025_fortissimo_arco-normal.mp3,0.34410688
violin_B4_05_fortissimo_arco-normal.mp3,0.38789588
violin_As6_15_fortissimo_arco-normal.mp3,0.35088494
violin_G6_1_fortissimo_arco-normal.mp3,0.3746304
violin_F4_025_fortissimo_arco-normal.mp3,0.371632
violin_Ds5_025_fortissimo_arco-normal.mp3,0.36768728
violin_B3_025_fortissimo_arco-normal.mp3,0.36772102
violin_As4_025_fortissimo_arco-normal.mp3,0.4134705
violin_G4_025_fortissimo_arco-normal.mp3,0.34441718
violin_Cs7_025_fortissimo_arco-normal.mp3,0.34760773
violin_As5_1_fortissimo_arco-normal.mp3,0.3834658
violin_C5_15_fortissimo_arco-normal.mp3,0.31063786
violin_Cs6_1_fortissimo_arco-normal.mp3,0.35564664
violin_Fs4_025_fortissimo_arco-normal.mp3,0.38978797
violin_Gs5_05_fortissimo_arco-normal.mp3,0.35364944
violin_F7_05_fortissimo_arco-normal.mp3,0.35389122
violin_D4_025_fortissimo_arco-normal.mp3,0.33793157
violin_Ds6_025_fortissimo_arco-normal.mp3,0.35038945
violin_F5_025_fortissimo_arco-normal.mp3,0.3569219
violin_Cs6_05_fortissimo_arco-normal.mp3,0.3531254
violin_G4_1_fortissimo_arco-normal.mp3,0.316637
violin_C5_05_fortissimo_arco-normal.mp3,0.3187539
violin_Fs4_05_fortissimo_arco-normal.mp3,0.38708088
violin_B5_05_fortissimo_arco-normal.mp3,0.33550867
violin_Ds4_15_fortissimo_arco-normal.mp3,0.37937412
violin_D6_1_fortissimo_arco-normal.mp3,0.34578398
violin_Cs7_1_fortissimo_arco-normal.mp3,0.35029662
violin_F7_025_fortissimo_arco-normal.mp3,0.35867375
violin_B6_15_fortissimo_arco-normal.mp3,0.3592344
violin_Fs7_1_fortissimo_arco-normal.mp3,0.35285258
violin_As4_05_fortissimo_arco-normal.mp3,0.40692955
violin_As4_1_fortissimo_arco-normal.mp3,0.42668748
violin_Ds7_1_fortissimo_arco-normal.mp3,0.3489908
violin_E4_025_fortissimo_arco-normal.mp3,0.36734334
violin_Ds7_05_fortissimo_arco-normal.mp3,0.35173008
violin_G7_1_fortissimo_arco-normal.mp3,0.3584014
violin_Cs5_05_fortissimo_arco-normal.mp3,0.37325448
violin_G4_15_fortissimo_arco-normal.mp3,0.31853762
violin_B5_025_fortissimo_arco-normal.mp3,0.34801644
